Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.36,-.52,-.23,-.30,-.07,-.17,-.20,-.27,-.24,-.32,-.44,-.40,-.29,***,***,-.20,-.21,-.33
1881,-.32,-.23,-.05,-.01,.02,-.35,.06,-.06,-.28,-.45,-.38,-.24,-.19,-.20,-.32,-.01,-.12,-.37
1882,.25,.20,.00,-.33,-.26,-.32,-.29,-.16,-.26,-.54,-.34,-.69,-.23,-.19,.07,-.19,-.26,-.38
1883,-.59,-.68,-.16,-.30,-.25,-.14,-.05,-.23,-.33,-.17,-.43,-.16,-.29,-.33,-.65,-.24,-.14,-.31
1884,-.18,-.12,-.65,-.60,-.37,-.43,-.42,-.53,-.46,-.46,-.59,-.48,-.44,-.41,-.16,-.54,-.46,-.50
1885,-1.02,-.47,-.25,-.50,-.60,-.46,-.35,-.43,-.41,-.38,-.39,-.13,-.45,-.48,-.66,-.45,-.41,-.39
1886,-.76,-.85,-.72,-.38,-.35,-.39,-.16,-.44,-.34,-.33,-.41,-.22,-.45,-.44,-.58,-.48,-.33,-.36
1887,-1.09,-.71,-.45,-.39,-.27,-.22,-.26,-.56,-.22,-.50,-.28,-.44,-.45,-.43,-.68,-.37,-.35,-.34
1888,-.50,-.62,-.65,-.23,-.16,-.04,-.01,-.22,-.21,-.04,-.02,-.25,-.25,-.26,-.52,-.35,-.09,-.09
1889,-.29,.28,-.03,.15,-.05,-.08,-.09,-.22,-.31,-.43,-.63,-.56,-.19,-.16,-.09,.02,-.13,-.46
1890,-.65,-.58,-.48,-.26,-.37,-.17,-.25,-.40,-.36,-.11,-.64,-.48,-.40,-.40,-.60,-.37,-.27,-.37
1891,-.47,-.67,-.17,-.36,-.16,-.14,-.13,-.13,-.09,-.29,-.53,-.03,-.26,-.30,-.54,-.23,-.13,-.30
1892,-.51,-.19,-.67,-.46,-.24,-.06,-.39,-.34,-.22,-.28,-.83,-.68,-.41,-.35,-.24,-.46,-.26,-.44
1893,-1.52,-.97,-.33,-.31,-.44,-.19,-.15,-.35,-.30,-.29,-.35,-.62,-.48,-.49,-1.06,-.36,-.23,-.31
1894,-.93,-.43,-.22,-.55,-.27,-.42,-.21,-.28,-.34,-.29,-.49,-.37,-.40,-.42,-.66,-.35,-.30,-.37
1895,-.71,-.82,-.51,-.20,-.32,-.22,-.20,-.29,-.07,-.10,-.14,-.24,-.32,-.33,-.63,-.34,-.23,-.11
1896,-.38,-.19,-.51,-.62,-.18,.06,-.01,-.13,-.14,.03,-.22,-.23,-.21,-.21,-.27,-.43,-.03,-.11
1897,-.42,-.43,-.41,-.07,.12,-.07,.03,-.08,-.08,-.17,-.27,-.31,-.18,-.17,-.36,-.12,-.04,-.17
1898,.03,-.46,-.81,-.30,-.30,-.10,-.14,-.20,-.20,-.38,-.52,-.29,-.31,-.31,-.25,-.47,-.15,-.37
1899,-.15,-.66,-.61,-.24,-.27,-.37,-.19,-.08,-.07,.03,.34,-.49,-.23,-.21,-.37,-.37,-.21,.10
1900,-.64,-.16,.04,-.12,-.06,-.12,-.14,-.10,-.05,.21,-.14,-.04,-.11,-.15,-.43,-.05,-.12,.01
