Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.06,-.01,-.12,-.24,-.16,.07,-.04,-.14,.00,.06,-.04,***,***,-.03,-.11,-.06
1881,-.08,-.06,.10,.10,.09,-.05,-.07,-.02,-.04,.00,.00,.10,.01,.00,-.03,.10,-.04,-.01
1882,.07,.07,.07,-.01,-.04,-.15,-.04,.01,-.04,.04,-.01,-.07,-.01,.01,.08,.01,-.06,.00
1883,-.02,-.08,-.08,-.07,-.10,-.02,-.08,-.05,-.10,-.05,-.04,-.06,-.06,-.06,-.06,-.08,-.05,-.06
1884,-.08,-.05,-.10,-.21,-.31,-.29,-.21,-.06,-.10,-.06,-.10,-.15,-.14,-.14,-.06,-.21,-.18,-.09
1885,-.20,-.22,-.30,-.35,-.32,-.42,-.33,-.22,-.19,-.12,-.11,-.09,-.24,-.24,-.19,-.32,-.32,-.14
1886,-.14,-.20,-.16,-.20,-.15,-.31,-.21,-.18,-.14,-.23,-.15,-.28,-.20,-.18,-.14,-.17,-.23,-.18
1887,-.36,-.44,-.27,-.31,-.35,-.27,-.26,-.16,-.29,-.22,-.25,-.23,-.28,-.29,-.36,-.31,-.23,-.25
1888,-.20,-.12,-.21,-.19,-.28,-.30,-.19,-.09,-.04,.07,.07,.15,-.11,-.14,-.18,-.23,-.20,.03
1889,.08,.03,.13,.03,.02,-.12,-.06,-.19,-.17,-.09,-.06,-.04,-.04,-.02,.09,.06,-.13,-.11
1890,-.21,-.32,-.33,-.35,-.43,-.32,-.32,-.38,-.38,-.39,-.25,-.16,-.32,-.31,-.19,-.37,-.34,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.23,-.22,-.23,-.15,-.10,-.05,-.19,-.20,-.21,-.19,-.24,-.16
1892,-.09,-.06,-.14,-.21,-.22,-.37,-.25,-.20,-.12,.00,-.03,-.11,-.15,-.15,-.07,-.19,-.27,-.05
1893,-.13,-.17,-.12,-.24,-.24,-.32,-.13,-.16,-.16,-.08,-.03,-.03,-.15,-.16,-.14,-.20,-.20,-.09
1894,-.14,-.15,-.24,-.35,-.35,-.39,-.26,-.20,-.22,-.17,-.03,-.06,-.21,-.21,-.11,-.31,-.28,-.14
1895,-.12,-.06,-.16,-.24,-.24,-.21,-.14,-.06,-.17,-.11,-.20,-.05,-.15,-.15,-.08,-.21,-.13,-.16
1896,-.09,-.07,-.04,-.01,-.15,-.29,-.05,.01,-.02,.09,.12,.13,-.03,-.04,-.07,-.07,-.11,.06
1897,.09,.07,.12,.00,-.16,-.16,-.07,-.11,-.09,-.10,-.10,-.13,-.05,-.03,.10,-.01,-.11,-.10
1898,-.10,-.16,-.23,-.34,-.33,-.30,-.32,-.36,-.25,-.32,-.26,-.20,-.26,-.26,-.13,-.30,-.33,-.28
1899,-.20,-.13,-.13,-.17,-.22,-.27,-.15,-.10,-.04,-.11,-.09,-.06,-.14,-.15,-.18,-.17,-.17,-.08
1900,-.10,.02,-.04,-.08,-.13,-.09,-.12,-.08,-.06,-.02,.00,-.10,-.07,-.06,-.05,-.08,-.10,-.03
