Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.04,-.38,-.13,-.01,-.84,-.47,-.30,-.16,-.09,-.04,.05,.68
1881,-.09,-.19,.01,-.36,.10,-.07,-.94,-.46,-.22,.09,.12,-.05,-.07,.61
1882,-.11,-.23,-.01,-.33,-.05,.01,-1.43,-.28,-.17,-.06,-.04,.01,.04,.64
1883,-.18,-.29,-.06,-.35,-.17,-.01,-.21,-.56,-.26,-.19,-.15,-.04,.07,.51
1884,-.29,-.44,-.14,-.62,-.15,-.14,-1.33,-.65,-.49,-.14,-.16,-.19,-.02,.66
1885,-.34,-.45,-.24,-.67,-.14,-.27,-1.53,-.69,-.47,-.08,-.19,-.33,-.15,.83
1886,-.32,-.45,-.20,-.58,-.20,-.21,-1.61,-.51,-.41,-.23,-.17,-.20,-.20,.60
1887,-.37,-.45,-.28,-.54,-.30,-.28,-1.79,-.52,-.31,-.31,-.30,-.27,-.26,.33
1888,-.18,-.25,-.11,-.43,.09,-.28,-1.33,-.43,-.26,.05,.14,-.31,-.22,.17
1889,-.11,-.19,-.04,-.31,.07,-.16,-.71,-.23,-.29,.00,.14,-.15,-.15,.46
1890,-.36,-.40,-.32,-.47,-.38,-.22,-1.16,-.57,-.28,-.28,-.47,-.17,-.27,.16
1891,-.23,-.26,-.19,-.43,-.09,-.21,-1.13,-.33,-.37,-.01,-.17,-.18,-.23,-.14
1892,-.28,-.41,-.15,-.44,-.31,-.08,-1.14,-.65,-.18,-.35,-.26,.02,-.21,.10
1893,-.32,-.48,-.15,-.51,-.37,-.04,-.68,-.54,-.48,-.44,-.31,.07,-.20,-.03
1894,-.31,-.40,-.21,-.33,-.35,-.23,-.98,-.32,-.19,-.50,-.19,-.14,-.34,-.36
1895,-.23,-.32,-.15,-.42,-.08,-.25,-.72,-.53,-.28,-.16,.00,-.19,-.31,-.57
1896,-.12,-.21,-.03,-.37,.09,-.15,-.92,-.38,-.24,.04,.14,-.15,-.13,.27
1897,-.12,-.18,-.05,-.37,.16,-.23,-.59,-.47,-.26,.12,.20,-.19,-.27,.41
1898,-.28,-.31,-.26,-.37,-.23,-.26,-1.20,-.25,-.25,-.20,-.27,-.28,-.20,.39
1899,-.19,-.23,-.14,-.26,-.13,-.18,-1.10,-.11,-.16,-.18,-.08,-.15,-.21,.59
1900,-.09,-.11,-.07,-.22,.16,-.30,-.60,-.17,-.17,.07,.25,-.29,-.29,.28
1901,-.16,-.14,-.18,-.18,-.05,-.30,-.43,-.13,-.16,-.08,-.02,-.28,-.33,.27
1902,-.29,-.35,-.22,-.56,-.05,-.35,-1.58,-.52,-.33,-.04,-.05,-.28,-.43,-.04
1903,-.38,-.40,-.37,-.48,-.30,-.38,-.27,-.43,-.57,-.26,-.34,-.35,-.40,-.48
1904,-.48,-.50,-.46,-.53,-.48,-.44,-.25,-.61,-.56,-.46,-.50,-.37,-.49,-1.31
1905,-.27,-.31,-.23,-.42,-.10,-.36,-.10,-.25,-.63,-.14,-.06,-.33,-.37,-.33
1906,-.23,-.25,-.21,-.27,-.21,-.23,-.31,-.08,-.40,-.23,-.19,-.21,-.22,-.70
1907,-.40,-.49,-.30,-.60,-.32,-.29,-.63,-.74,-.53,-.32,-.32,-.21,-.37,-1.19
1908,-.44,-.47,-.41,-.50,-.46,-.35,-.28,-.56,-.53,-.44,-.47,-.28,-.48,.68
1909,-.50,-.52,-.48,-.55,-.50,-.44,-.78,-.64,-.45,-.47,-.54,-.37,-.52,-.56
1910,-.45,-.47,-.43,-.44,-.51,-.38,-.65,-.26,-.51,-.51,-.51,-.33,-.45,.17
1911,-.45,-.44,-.46,-.44,-.44,-.48,-.31,-.43,-.48,-.45,-.43,-.43,-.52,.06
1912,-.37,-.48,-.25,-.61,-.20,-.36,-.53,-.80,-.51,-.30,-.10,-.36,-.29,-1.62
1913,-.36,-.44,-.27,-.46,-.29,-.35,-.52,-.34,-.52,-.42,-.16,-.28,-.40,-1.03
1914,-.16,-.21,-.11,-.26,-.08,-.18,-.40,-.17,-.29,-.14,-.02,-.15,-.18,-.36
1915,-.15,-.15,-.14,-.25,-.02,-.22,-.62,-.18,-.20,-.02,-.03,-.15,-.23,-1.97
1916,-.37,-.44,-.31,-.39,-.46,-.23,-.55,-.55,-.25,-.51,-.42,-.23,-.17,-1.04
1917,-.47,-.59,-.36,-.51,-.65,-.19,-.85,-.51,-.44,-.70,-.60,-.23,-.09,.07
1918,-.31,-.41,-.20,-.42,-.35,-.14,-1.05,-.28,-.36,-.40,-.30,-.06,-.23,-.27
1919,-.29,-.36,-.21,-.45,-.21,-.22,-.73,-.57,-.31,-.24,-.18,-.15,-.32,.21
1920,-.28,-.32,-.25,-.27,-.27,-.32,-.06,-.22,-.36,-.39,-.14,-.19,-.48,-1.13
1921,-.20,-.12,-.27,.00,-.26,-.31,-.05,.16,-.10,-.30,-.22,-.23,-.38,-.83
1922,-.29,-.28,-.30,-.25,-.33,-.27,-.31,-.41,-.14,-.33,-.33,-.25,-.28,-.27
1923,-.27,-.23,-.31,-.16,-.30,-.34,.16,-.16,-.26,-.33,-.28,-.27,-.41,-.54
1924,-.28,-.19,-.36,-.14,-.26,-.43,.50,-.26,-.24,-.27,-.26,-.40,-.45,-.52
