Year,Temp_Change,CO2_ex,ppm,Population,N2O,CH4,CO2_in
1880,-0.16,853.92,298.17,1415.84,238.83,1544.16,4226.25
1881,-0.08,883.54,298.23,1423.7,241.5,1561.76,4220.94
1882,-0.11,933.36,298.29,1433.55,243.78,1579.73,4337.13
1883,-0.17,992.75,298.36,1444.01,245.76,1599.37,4467.21
1884,-0.28,1004.13,298.43,1454.6,247.51,1611.34,4485.55
1885,-0.33,1011.64,298.5,1465.37,249.11,1623.19,4487.16
1886,-0.31,1027.42,298.57,1476.25,250.64,1636.27,4551.04
1887,-0.36,1078.75,298.65,1487.28,252.16,1654.78,4660.12
1888,-0.17,1194.35,298.73,1498.44,253.77,1679.93,4784.97
1889,-0.11,1194.62,298.81,1509.37,255.53,1692.23,4777.4
1890,-0.35,1300.36,298.9,1521.67,265.58,1718.4,5146.9
1891,-0.23,1361.75,298.99,1530.61,268.67,1737.43,5315.17
1892,-0.28,1372.4,299.08,1540.82,271.88,1750.32,5368.38
1893,-0.31,1355.48,299.18,1550.82,275.19,1757.73,5428.67
1894,-0.3,1403.02,299.29,1560.96,278.55,1777.38,5512.7
1895,-0.23,1487.43,299.39,1571.25,281.91,1800.44,5637.1
1896,-0.12,1536.37,299.49,1581.63,285.22,1817.19,5728.01
1897,-0.11,1609.23,299.6,1592.15,288.45,1838.66,5814.79
1898,-0.28,1697.17,299.72,1602.8,291.55,1861.34,5933.3
1899,-0.18,1853.71,299.84,1614.11,294.47,1892.89,6149.73
1900,-0.09,1952.21,299.96,1627.88,297.18,1919.43,6327.4
1901,-0.16,2016.74,300.1,1638.65,300.02,1940.26,6432.97
1902,-0.28,2067.68,300.25,1651.84,303.32,1957.98,6551.87
1903,-0.37,2254.1,300.4,1665.7,306.97,1993.05,6747.72
1904,-0.48,2279.75,300.55,1679.75,310.87,2008.74,6860.72
1905,-0.27,2427.32,300.72,1693.98,314.93,2034.7,7023.19
1906,-0.23,2534.73,300.89,1708.41,319.05,2067.41,7157.02
1907,-0.39,2888.32,301.07,1723.03,323.13,2118.7,7552.96
1908,-0.43,2776.44,301.26,1737.87,327.06,2118.95,7479.41
1909,-0.49,2890.5,301.48,1752.12,330.76,2148.5,7634.22
1910,-0.44,3034.09,301.68,1767.85,334.11,2176.73,7675.06
1911,-0.45,3079.5,301.9,1778.78,338.0,2199.4,7686.53
1912,-0.37,3235.96,302.12,1791.2,343.16,2224.51,7784.21
1913,-0.35,3506.28,302.35,1803.06,349.32,2267.47,8043.61
1914,-0.16,3180.36,302.59,1815.1,356.21,2242.11,7714.73
1915,-0.14,3134.85,302.86,1827.29,363.54,2252.62,7622.3
1916,-0.36,3385.86,303.09,1839.56,371.06,2295.84,7826.4
1917,-0.46,3540.43,303.32,1851.9,378.48,2328.25,7967.0
1918,-0.3,3493.26,303.57,1864.87,385.52,2320.67,7946.79
1919,-0.28,3029.01,303.84,1878.65,391.92,2289.85,7440.11
1920,-0.28,3521.43,304.09,1895.68,397.39,2355.94,8127.81
1921,-0.19,3090.1,304.31,1908.75,402.57,2312.73,7819.83
1922,-0.28,3240.31,304.57,1924.83,408.17,2362.88,8032.06
1923,-0.27,3676.23,304.8,1941.64,414.02,2442.96,8462.21
1924,-0.27,3687.22,305.03,1958.72,419.96,2471.4,8491.96
1925,-0.22,3727.03,305.3,1976.07,425.82,2494.89,8599.44
1926,-0.11,3661.03,305.57,1993.72,431.43,2503.06,8516.68
1927,-0.22,3996.13,305.84,2011.69,436.63,2576.84,8859.07
1928,-0.2,3978.76,306.11,2029.68,441.25,2593.68,8850.27
1929,-0.36,4270.91,306.4,2048.51,445.14,2652.57,9156.85
1930,-0.16,3938.6,306.69,2070.6,448.12,2655.12,8898.98
1931,-0.09,3519.9,307.0,2088.43,450.55,2641.0,8550.86
1932,-0.16,3173.48,307.28,2109.36,452.94,2637.24,8260.39
1933,-0.29,3341.52,307.53,2131.03,455.38,2681.49,8449.71
1934,-0.12,3634.24,307.76,2152.97,457.97,2747.95,8791.57
1935,-0.2,3814.8,307.99,2175.18,460.8,2798.56,8975.18
1936,-0.15,4185.51,308.25,2197.83,463.96,2877.91,9370.57
1937,-0.03,4474.23,308.52,2220.88,467.54,2941.12,9645.48
1938,0.0,4206.9,308.82,2244.01,471.63,2948.61,9405.43
1939,-0.02,4451.25,309.14,2266.48,476.32,3006.32,9652.83
1940,0.12,4861.35,309.44,2290.87,481.71,3072.63,10197.11
1941,0.19,4970.81,309.76,2307.74,499.51,3125.02,10478.86
1942,0.07,4959.59,310.11,2326.73,538.08,3161.4,10502.65
1943,0.09,5041.69,310.47,2344.58,592.52,3225.13,10572.95
1944,0.2,5117.91,310.82,2362.44,657.87,3271.15,10649.71
1945,0.09,4257.14,311.19,2380.17,729.23,3239.57,9754.17
1946,-0.07,4646.12,311.55,2397.81,801.66,3339.6,10127.49
1947,-0.03,5145.78,311.85,2416.69,870.22,3456.03,10580.72
1948,-0.11,5424.95,312.18,2437.26,930.01,3512.28,10784.45
1949,-0.11,5181.01,312.54,2463.24,976.08,3561.37,10488.61
1950,-0.17,5929.34,312.93,2499.32,1003.51,3655.74,11859.32
1951,-0.07,6381.41,313.3,2543.13,1020.49,3781.38,12381.13
