,Year,est_ppm
144,1750,296.9
145,1751,296.9
146,1752,296.9007324137707
147,1753,296.90147277658406
148,1754,296.9022189461312
149,1755,296.9029714526475
150,1756,296.9037317763846
151,1757,296.90449478512926
152,1758,296.905265023333
153,1759,296.906047757135
154,1760,296.9068380881094
155,1761,296.90763606243814
156,1762,296.9084457529251
157,1763,296.9092717831777
158,1764,296.9101117616013
159,1765,296.9109684789917
160,1766,296.9118391444285
161,1767,296.9127269411853
162,1768,296.9136308098166
163,1769,296.91455416868524
164,1770,296.91549988798766
165,1771,296.91646783829464
166,1772,296.917458276224
167,1773,296.918467602264
168,1774,296.9194944199303
169,1775,296.9205330921231
170,1776,296.9215851473862
171,1777,296.92266023538406
172,1778,296.9237573768448
173,1779,296.9248758034922
174,1780,296.9260136477516
175,1781,296.9271715625559
176,1782,296.92835358994483
177,1783,296.92956054341965
178,1784,296.93079173059715
179,1785,296.932057711562
180,1786,296.93335259919206
181,1787,296.93468307142365
182,1788,296.93604810858307
183,1789,296.9374421088193
184,1790,296.9388661627238
185,1791,296.9403320004253
186,1792,296.9418362381629
187,1793,296.9433786884857
188,1794,296.94499569112344
189,1795,296.9466376421892
190,1796,296.94829293565937
191,1797,296.94992782155043
192,1798,296.95154313087454
193,1799,296.9531517453979
194,1800,296.954836118523
195,1801,296.95686094718286
196,1802,296.9592995431748
197,1803,296.9616689621415
198,1804,296.96468716139555
199,1805,296.96685147969885
200,1806,296.96918345132536
201,1807,296.97146910038816
202,1808,296.97386303623165
203,1809,296.976526170447
204,1810,296.9791277456591
205,1811,296.9817881857666
206,1812,296.9846904002619
207,1813,296.9876396024521
208,1814,296.99063146402943
209,1815,296.9936464229647
210,1816,296.9967339513687
211,1817,296.9999206695778
212,1818,297.00324967558674
213,1819,297.00686780788214
214,1820,297.0106438124005
215,1821,297.0143740393084
216,1822,297.0180789341227
217,1823,297.0218784812521
218,1824,297.0258228806876
219,1825,297.0299412424501
220,1826,297.0341458287776
221,1827,297.0385873761283
222,1828,297.0430692164244
223,1829,297.0478824077176
224,1830,297.05275815175844
225,1831,297.0575918550932
226,1832,297.06419794033815
227,1833,297.0703399239011
228,1834,297.07637349706675
229,1835,297.0824821447751
230,1836,297.0890090598588
231,1837,297.09619983762195
232,1838,297.1041208382785
233,1839,297.1119684251763
234,1840,297.1197675356756
235,1841,297.1278459243644
236,1842,297.1366246231519
237,1843,297.14564650420834
238,1844,297.15521401220434
239,1845,297.1649925757331
240,1846,297.1754996661989
241,1847,297.1870119276517
242,1848,297.1987029672689
243,1849,297.2113938786728
244,1850,297.22427780161127
245,1851,297.238022135773
246,1852,297.2526632120089
247,1853,297.26741931259147
248,1854,297.2828256478079
249,1855,297.29895747354965
250,1856,297.3180330840922
251,1857,297.33746581443836
252,1858,297.35820196683994
253,1859,297.3790950052663
254,1860,297.4002719489195
255,1861,297.42275262156113
256,1862,297.447498511969
257,1863,297.4735099207792
258,1864,297.4999844741461
259,1865,297.52825589163143
260,1866,297.5587837762065
261,1867,297.59121613323595
262,1868,297.6246468805776
263,1869,297.6604807967698
264,1870,297.69728162237845
265,1871,297.73638192626527
266,1872,297.7762824108085
267,1873,297.81872186683614
268,1874,297.8658119487903
269,1875,297.91587517565625
270,1876,297.96249070504797
271,1877,298.01313793141594
272,1878,298.0644245820145
273,1879,298.11665167187414
0,1880,298.16918365968985
1,1881,298.22551614883406
2,1882,298.2894190253069
3,1883,298.3555071135252
4,1884,298.42534957469456
5,1885,298.49969454262083
6,1886,298.5747533813895
7,1887,298.65020923960924
8,1888,298.7267116873216
9,1889,298.8070575968373
10,1890,298.89630298353313
11,1891,298.98536058854233
12,1892,299.0825078605575
13,1893,299.1842547928461
14,1894,299.2865867634924
15,1895,299.38732234228894
16,1896,299.49153330598494
17,1897,299.6021256821756
18,1898,299.7162981080729
19,1899,299.83591750484015
20,1900,299.9621604576674
21,1901,300.10041255118654
22,1902,300.24608836575084
23,1903,300.3964834853388
24,1904,300.55050861616417
25,1905,300.7188138964477
26,1906,300.8887368129191
27,1907,301.0698360321272
28,1908,301.25894693054124
29,1909,301.4754148345662
30,1910,301.68258545431695
31,1911,301.8981691259289
32,1912,302.1245150236688
33,1913,302.3538739163268
34,1914,302.59495780559826
35,1915,302.8567192310236
36,1916,303.09220211700085
37,1917,303.32342265297734
38,1918,303.57378518154434
39,1919,303.8357110343454
40,1920,304.093273399166
41,1921,304.31361546820807
42,1922,304.5720423234346
43,1923,304.7959485765003
44,1924,305.03100482877795
45,1925,305.29978664111155
46,1926,305.56882140424284
47,1927,305.8402901258681
48,1928,306.1058639120622
49,1929,306.39710459498974
50,1930,306.6862873257178
51,1931,306.9977048686483
52,1932,307.282215852889
53,1933,307.53296361699034
54,1934,307.7557059254159
55,1935,307.9910211068226
56,1936,308.2487949453064
57,1937,308.52016671625717
58,1938,308.8200442053234
59,1939,309.14193858010464
60,1940,309.4420125507848
61,1941,309.76047961013137
62,1942,310.11044187190157
63,1943,310.46819078618125
64,1944,310.8241451980934
65,1945,311.18563070174184
66,1946,311.55218816845206
67,1947,311.8500590685211
68,1948,312.17759063205807
69,1949,312.54367172891625
70,1950,312.93087208859436
71,1951,313.29792021981314
72,1952,313.72285719547443
73,1953,314.18241785277394
74,1954,314.6476434898625
75,1955,315.12610915377337
76,1956,315.61427521184567
77,1957,316.1526965910558
78,1958,316.72779185777154
79,1959,317.3219198919339
80,1960,317.9327746242623
81,1961,318.5765159555008
82,1962,319.2605186979876
83,1963,319.9450467271872
84,1964,320.65393769546705
85,1965,321.4019327977811
86,1966,322.1919656517119
87,1967,323.0183071912817
88,1968,323.8860383392992
89,1969,324.7811026947282
90,1970,325.7264831668442
91,1971,326.7369438922219
92,1972,327.8344547739154
93,1973,328.97692223705997
94,1974,330.1732511264158
95,1975,331.434296319385
96,1976,332.6863946570407
97,1977,333.9384060093517
98,1978,335.2607669896995
99,1979,336.6199617486631
100,1980,338.0205209748002
101,1981,339.45996755373886
102,1982,340.8862804419375
103,1983,342.2722111903008
104,1984,343.64250023507
105,1985,345.01866810504094
106,1986,346.4428855931276
107,1987,347.9157334197415
108,1988,349.40867310966416
109,1989,350.9480134640379
110,1990,352.5489181542532
111,1991,354.1695522020691
112,1992,355.81543367094355
113,1993,357.49462096772027
114,1994,359.1174012835788
115,1995,360.75400367178673
116,1996,362.40499002027843
117,1997,364.09025913766635
118,1998,365.82834404687003
119,1999,367.57351707813757
120,2000,369.3090503327155
121,2001,371.0795938668143
122,2002,372.8981780325541
123,2003,374.7258204298819
124,2004,376.5938550322701
125,2005,378.5673459701424
126,2006,380.6124390011629
127,2007,382.72888846743433
128,2008,384.91979396087027
129,2009,387.17554944353543
130,2010,389.46827328079576
131,2011,391.7119467170554
132,2012,394.09234718222405
133,2013,396.5558541366042
134,2014,399.05243753384804
135,2015,401.5659855121157
136,2016,404.0914308481044
137,2017,406.6100998241365
138,2018,409.12194510554076
139,2019,411.67173617947367
140,2020,414.2733477969623
141,2021,416.8898216459905
142,2022,419.339570532887
143,2023,421.9248688083423
